event,confidence,reasoning,sentiment_score
If no predefined event matches,V1qYH6Y3G8,If no predefined event matches,0.7712
1999 Bonfire tragedy,99lTUxeYcQ,If no predefined event matches,-0.128
SMU making the playoffs before A&amp;M,0.0-1.0,If no predefined event matches,0.4767
The legendary football rivalry,concise and descriptive,If no predefined event matches,-0.2732
Exciting announcement,0.0-1.0,If no predefined event matches,0.0
If no predefined event matches,Twelve2025,If no predefined event matches,0.7777
SMU making the playoffs before A&amp;M,0.0-1.0,If no predefined event matches,0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,0.0
If no predefined event matches,0.8,If no predefined event matches,0.9325
SMU making the playoffs before A&amp;M,0.0-1.0,If no predefined event matches,0.0
slander_against_UT,0.8,The tweet mentions the University of Texas and the phrase'slander being thrown at the #3 team in the country',-0.2023
event_name,0.0-1.0,If no predefined event matches,0.5837
If no predefined event matches,0.8,If no predefined event matches,0.3365
If no predefined event matches,0.0,If no predefined event matches,0.3365
SMU making the playoffs before A&amp;M,"confidence_score""}",If no predefined event matches,0.6239
event_name,0.0-1.0,"""why you chose this category",-0.8056
event_name,0.0-1.0,why you chose this category,-0.6229
If no predefined event matches,0.0-1.0,"when leaders truly care, they make a difference",0.9493
If no predefined event matches,4,If no predefined event matches,0.0
If no predefined event matches,Whoop! #tamu,If no predefined event matches,0.8011
SMU making the playoffs before A&amp;M,Suite Level,If no predefined event matches,0.0
If no predefined event matches,0.9,If no predefined event matches,0.0747
event_name,0.0-1.0,"The reasoning value should be concise and descriptive, and should not exceed 100 characters",-0.296
celebrating its 147th anniversary today,0.0-1.0,If no predefined event matches,0.0
an event related to a university being ranked as the top university in Texas,0.0-1.0,If no predefined event matches,0.9081
The legendary football rivalry,0.9,If no predefined event matches,0.4995
If no predefined event matches,0.9,If no predefined event matches,0.4389
Covid-19 pandemic,0.9,The tweet mentions the COVID-19 pandemic and its impact on various fields of study.,-0.2732
If no predefined event matches,0.0-1.0,because it feels so unreal,0.9571
College Sports Move,5oHg6HyEa0,If no predefined event matches,0.3818
event_name,0.0-1.0,why you chose this category,0.0
College Basketball Championship,0.9,"The tweet mentions the #A&amp;M vs Bowling Green game, which is a significant event in the college basketball world. It is also a popular event that is closely followed by fans and media, making it a high-confidence event to classify.",0.4215
celebrating its 147th anniversary today,0.0-1.0,If no predefined event matches,0.0
celebrating its 147th anniversary today,0.99,If no predefined event matches,0.0
event_name,0.0-1.0,why you chose this category,0.0
If no predefined event matches,0.8,values that guide our commitment to veterans,0.969
"a graduation ceremony, a wedding reception",concise and descriptive,If no predefined event matches,0.3818
College Basketball Championship,0.0-1.0,why you chose this category,0.0
If no predefined event matches,TICKET PULL CRITICISM,If no predefined event matches,-0.5766
an event related to a university being ranked as the top university in Texas,concise and descriptive,our mission is to transform lives,0.0
event_name,0.0-1.0,why you chose this category,-0.5514
celebrating its 147th anniversary today,0.8,"The tweet mentions a university, which is a common category for tweets about educational institutions.",0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,-0.4019
College Sports Move,42PZiBp9gx,Since the tweet does not match any predefined event category,0.8655
event_name,0.0-1.0,why you chose this category,0.0
Anthony Hill Jr disrespected by the Butkus Award committee &amp; disrespected by A&amp;M players.,0.8,"Anthony Hill Jr was not selected for the Butkus Award, which is a prestigious honor in the NFL. He also expressed his disappointment on social media, which suggests that he felt disrespected by the committee and his teammates.",-0.3612
If no predefined event matches,0.0-1.0,why you chose this category,0.4953
The International Youth Climate Summit,No. 1 and No. 2,If no predefined event matches,0.4939
If no predefined event matches,0.8,If no predefined event matches,0.0
If no predefined event matches,Aggies value and strive towards excellence,If no predefined event matches,0.7568
Qatar campus closure,0.0-1.0,why you chose this event,-0.6908
If no predefined event matches,2/3,the Aggies had first choice,0.6696
slander_against_UT,0.0-1.0,If no predefined event matches,0.1779
If no predefined event matches,Twelve2026,If no predefined event matches,0.7777
The International Youth Climate Summit,X2bI5V5KNS,If no predefined event matches,0.5423
SMU making the playoffs before A&amp;M,concise and descriptive,If no predefined event matches,0.296
celebrating its 147th anniversary today,87SM3vOyi4,If no predefined event matches,-0.3182
SMU making the playoffs before A&amp;M,concise and descriptive,If no predefined event matches,0.7574
political_dispute,0.8,"The tweet mentions a political dispute between the university’s Board of Regents and the Texas A&amp;M Faculty Senate, which fits the definition of a political dispute.",-0.3818
SMU making the playoffs before A&amp;M,concise and descriptive,If no predefined event matches,-0.9371
event_name,0.0-1.0,"""why you chose this category",-0.7579
"a graduation ceremony, a wedding reception",0.9,"Texas hasn't lost a road game in over 2 years, which is a significant achievement in college football. This event is related to the sport of football and the success of the Texas team.",0.743
event_name,0.0-1.0,"""why you chose this category",0.34
If no predefined event matches,Sustainability,If no predefined event matches,0.0
If no predefined event matches,Texas Universities Are Reckless With Your Money,If no predefined event matches,-0.128
an event related to a university being ranked as the top university in Texas,4nHGd7XfeE,If no predefined event matches,0.0
an event related to a university being ranked as the top university in Texas,j7BKtcVhNp,If no predefined event matches,0.6705
IF2024 Conference,#IF2024,If no predefined event matches,0.9582
"a graduation ceremony, a wedding reception",concise and descriptive,If no predefined event matches,0.4215
If no predefined event matches,0.5,If no predefined event matches,0.4497
The legendary football rivalry,348D23Gk,If no predefined event matches,0.795
If no predefined event matches,"ThrillerNovel
#ThrillerNovel",If no predefined event matches,-0.296
political_dispute,0.9,"The tweet is discussing a potential disaster in the world of sports, specifically in the Texas state history of A&amp;M, which is a college football team. The tweet is expressing concern and disbelief over the possibility of A&amp;M ruining the biggest game in Texas state history in a few hours.",-0.4404
If no predefined event matches,0.8,If no predefined event matches,0.0
College Sports Move,0.8,"The tweet is discussing a sports team's record and achievements, which falls under the category of sports.",0.6222
education,0.8,"The tweet mentions a university reopening, which is a common event in the education category.",0.0
The legendary football rivalry,BTHOtu,If no predefined event matches,0.1739
event_name,0.0-1.0,why this tweet is a match,0.0
If no predefined event matches,0.0-1.0,why you chose this category,-0.4019
If no predefined event matches,concise and descriptive,If no predefined event matches,0.0083
Medical Breakthrough,0.8,"The tweet mentions that the business offices at ETAMU are closed for Thanksgiving break and will reopen on Monday, December 2. The phrase 'have a great break' also indicates that the event is related to a holiday break.",0.6588
event_name,0.0-1.0,If no predefined event matches,0.3182
The legendary football rivalry,0.9,because it is a sports event,0.4019
A&amp;M down 21-0 to 4-6 Auburn,0.9,"This tweet is about a recent football game between the A&amp;M and Auburn teams, where A&amp;M lost by a large margin.",0.0
If no predefined event matches,0.0-1.0,If no predefined event matches,0.9432
1999 Bonfire tragedy,0.9,"The tweet mentions SEC and their actions towards A&amp;M, which aligns with the event category of SEC Sabotage",0.0
College Sports Move,0.0-1.0,the tweet provides specific details,-0.0772
If no predefined event matches,0.0-1.0,If no predefined event matches,0.2263
If no predefined event matches,0.0-1.0,why you chose this category,0.6908
If no predefined event matches,0.0-1.0,If no predefined event matches,0.0
Holiday Gala,agp8Y4J4IF,If no predefined event matches,0.4019
event_name,0.0-1.0,"""why you chose this category",0.0
event_name,0.0-1.0,why you chose this category,0.6669
If no predefined event matches,"BTHOOT

",If no predefined event matches,0.0258
school_prank,0.9,"The tweet mentions toxic trash talk, which is a type of online harassment. The tweet also mentions the Texas/A&amp;M team, which is a sports team known for their aggressive behavior. This tweet is likely to be classified as toxic trash talk, which is a type of online harassment.",0.0
event_name,0.0-1.0,why you chose this category,0.25
If no predefined event matches,7 - 0,If no predefined event matches,0.5983
food,0.8,the tweet mentions food,0.0
event_name,0.8,"The tweet mentions a new look, which is a common theme in fashion events. The hashtag #GigEm is also commonly used in the fashion industry to promote events or products. The mention of the items (purse, scarf, sweater) are also common accessories in fashion events.",0.0
If no predefined event matches,0.0,If no predefined event matches,0.0
event_name,0.8,why you chose this category,0.5719
If no predefined event matches,0.0-1.0,If no predefined event matches,0.0
event_name,0.0-1.0,"""why you chose this category",0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,0.0
school_prank,0.8,"The tweet contains a popular college prank meme, which is a type of humorous event",0.0
College Sports Move,"##OUTPUT
{",If no predefined event matches,0.6088
event_name,0.0-1.0,"""why you chose this category",0.4404
event_name,0.0-1.0,why you chose this category,0.0
Qatar campus closure,0.9,The tweet mentions Texas A&amp;M and the hashtag #TexasA&amp;M indicates that the person will be attending the university this weekend.,0.0
event_name,0.0-1.0,why you chose this category,-0.4168
education,0.9,"The tweet mentions practicing from the top, which is a common phrase used in the gym to refer to doing exercises that target the upper body muscles. This suggests that the user is likely discussing a workout session or training session.",0.2023
SMU making the playoffs before A&amp;M,GigEm,It’s been too long,0.0
Exciting announcement,"INPUT

##OUTPUT",If no predefined event matches,0.3348
If no predefined event matches,concise and descriptive,If no predefined event matches,0.4199
If no predefined event matches,#vanadium #VFB $AVL,If no predefined event matches,0.0
Medical Breakthrough,safe and healthy,If no predefined event matches,0.8955
education,0.99,John Comstock's injuries were so severe that Texas A&amp;M University drafted a press release announcing his death.,-0.8056
slander_against_UT,0.8,"This event is important because it indicates that Texas A&amp;M University is facing challenges in accommodating its growing student population. The capacity study report recommends pausing undergraduate growth on the main campus over the next five years, which suggests that the university is taking proactive measures to address the issue. This event may also have implications for the university's enrollment and financial planning in the future.",0.5267
If no predefined event matches,0.0-1.0,why you chose this category,0.0
College Basketball Championship,0TpjyDpNv9,If no predefined event matches,0.8074
The International Youth Climate Summit,0.0-1.0,If no predefined event matches,0.7506
Exciting announcement,0.9,"The tweet mentions that the university was established in 1876, which is a clear indication of its establishment event.",0.6249
event_name,0.0-1.0,"""why you chose this category",0.0
If no predefined event matches,award_winner,If no predefined event matches,0.2481
education,0.8,TAMU was named the most compassionate school in Texas based on Washington Monthly data,0.6221
If no predefined event matches,0.0-1.0,why you chose this category,0.4995
If no predefined event matches,0.0-1.0,If no predefined event matches,0.5719
College Sports Move,0.8,"The tweet mentions a college football game, specifically between Texas A&amp;M and Southern University, which is a common event in the sports world. Additionally, the tweet provides details on how to watch the game, indicating that it is a significant event worth discussing.",0.8176
event_name,0.0-1.0,"""why you chose this category",-0.5574
The legendary football rivalry,##OUTPUT,If no predefined event matches,0.8553
College Sports Move,0.9,"the tweet mentions a name change, which is a significant event for the university.",0.5255
If no predefined event matches,concise and descriptive,If no predefined event matches,0.25
The legendary football rivalry,0.0-1.0,Texas-Texas A&amp;M is the best in-state rivalry,0.4019
Medical Breakthrough,0.8,"The tweet mentions Texas A&amp;M breaking ground on a new $40 million Music Activities Center, which is a significant event for the university and the music community.",0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,0.0
"a graduation ceremony, a wedding reception",BrianS00250008,If no predefined event matches,0.0
If no predefined event matches,0.0-1.0,Job posting,0.0
Qatar campus closure,concise and descriptive,If no predefined event matches,0.4939
an event related to a university being ranked as the top university in Texas,concise and descriptive,If no predefined event matches,0.6124
celebrating its 147th anniversary today,concise and descriptive,If no predefined event matches,0.9022
If no predefined event matches,0.0-1.0,If no predefined event matches,0.7003
If no predefined event matches,2024,If no predefined event matches,-0.2411
Exciting announcement,concise and descriptive,If no predefined event matches,0.6486
event_name,0.0-1.0,"""why you chose this category",0.0
the Class of 2025,It's GAMEDAY,If no predefined event matches,0.0
If no predefined event matches,FOR FREE,If no predefined event matches,0.8636
event_name,0.0-1.0,"""why you chose this category",0.0
an event related to a university being ranked as the top university in Texas,CONGRATS,If no predefined event matches,0.8491
Medical Breakthrough,"
1",We hope everyone enjoys a well-deserved break with family and friends,0.8955
If no predefined event matches,concise and descriptive,If no predefined event matches,0.9622
If no predefined event matches,0.0,If no predefined event matches,0.0
an event related to a university being ranked as the top university in Texas,0.8,"The tweet mentions that faculty members are worried about the university's future, which suggests that they are protesting against the administration's actions.",-0.836
College Sports Move,3fBc9,If no predefined event matches,0.1531
If no predefined event matches,concise and descriptive,If no predefined event matches,0.2362
If no predefined event matches,0.0-1.0,why you chose this category,0.5893
If no predefined event matches,0.8,If no predefined event matches,0.0
The legendary football rivalry,0.0-1.0,If no predefined event matches,0.6705
Covid-19 pandemic,aPBD7XsIFU,If no predefined event matches,-0.1531
event_name,0.0-1.0,"""why you chose this category",0.5267
College Basketball Championship,0.9,"The tweet mentions a college basketball game, which is a popular event in the sports world.",0.0
Women’s Health Symposium,PROFESSOR,If no predefined event matches,0.0
If no predefined event matches,positive,If no predefined event matches,0.947
College Sports Move,concise and descriptive,If no predefined event matches,0.5262
If no predefined event matches,0.0-1.0,why you chose this category,-0.3818
If no predefined event matches,DROP A LIKE IF TAILING,If no predefined event matches,0.7865
political_dispute,concise and descriptive,If no predefined event matches,0.7906
The legendary football rivalry,0.5,If no predefined event matches,0.0
If no predefined event matches,0.0-1.0,reasoning_text,-0.0516
event_name,0.0-1.0,"""why you chose this category",0.0
College Sports Move,0.9,If no predefined event matches,0.4574
College Basketball Championship,0.8,"the tweet mentions playing A&amp;M each year, which is a form of baseball",0.6059
If no predefined event matches,0.8,If no predefined event matches,0.5719
an event related to a university being ranked as the top university in Texas,concise and descriptive,If no predefined event matches,0.7717
"a graduation ceremony, a wedding reception","0.8. Otherwise, we assign a confidence score of 0.2",If no predefined event matches,0.1027
education,0.8,"Jimbo's departure is a significant event in the story and it has an impact on the characters and the plot. It is also a major turning point in the story, as it sets the stage for the rest of the narrative.",0.5106
event_name,0.0-1.0,why you chose this category,0.8464
If no predefined event matches,0.5,If no predefined event matches,0.0
If no predefined event matches,0.9,If no predefined event matches,0.9564
event_name,0.0-1.0,why you chose this category,0.0
SMU making the playoffs before A&amp;M,"
Credit",If no predefined event matches,0.3818
If no predefined event matches,"
Yes, Tech doesn't have yell leaders",If no predefined event matches,0.3944
The legendary football rivalry,confidence_score,If no predefined event matches,-0.5319
If no predefined event matches,0.0-1.0,If no predefined event matches,-0.4019
If no predefined event matches,0.7,potential political issue,-0.4215
If no predefined event matches,0.0-1.0,why you chose this category,0.0
A&amp;M down 21-0 to 4-6 Auburn,0.9,"The tweet mentions that A&amp;M lost to 4-6 Auburn and hasn't won a conference game all November, which fits the category of ""A&amp;M losing to a tough opponent and struggling in conference play.",0.0772
If no predefined event matches,Väl insatt i det hon ska ta ansvar för,If no predefined event matches,0.0
If no predefined event matches,q7wEMF5bYI,If no predefined event matches,0.9278
political_dispute,concise and descriptive,political satire mocking the supposed conservative nature,0.2406
celebrating its 147th anniversary today,0.0-1.0,If no predefined event matches,0.0
celebrating its 147th anniversary today,concise and descriptive,If no predefined event matches,0.9833
an event related to a university being ranked as the top university in Texas,concise and descriptive,If no predefined event matches,-0.3919
If no predefined event matches,85btPiAhlN,If no predefined event matches,0.8555
slander_against_UT,0.0-1.0,If no predefined event matches,0.9042
The legendary football rivalry,concise and descriptive,If no predefined event matches,-0.3129
"a graduation ceremony, a wedding reception",AlumniPride,a way to remember and honor past experiences,0.8126
If no predefined event matches,concise and descriptive,If no predefined event matches,0.2732
If no predefined event matches,The first touchdown,If no predefined event matches,0.6996
The International Youth Climate Summit,concise and descriptive,If no predefined event matches,0.1759
Women’s Health Symposium,0.0-1.0,why you chose this category,0.0
If no predefined event matches,CONGRATS,If no predefined event matches,0.8491
SMU making the playoffs before A&amp;M,0.0,"This tweet mentions a specific event, Southern University Cam Amboree, which is a sports event. The mention of the 3-pointer against Texas A&amp;M indicates that it is a basketball game.",0.0
education,0.9,A&amp;M is an accredited institution of higher learning in the State of Texas,0.0
IF2024 Conference,0.9,"The University of Texas is known for its academic prestige, large alumni base, and immense financial resources. It has historically dominated the rivalry in terms of national championships and overall, which are all indicators of cultural and institutional differences.",0.5574
If no predefined event matches,0.0-1.0,why you chose this category,0.4215
Women’s Health Symposium,0.8,The tweet mentions Texas A&amp;M University and its reputation for being a safe school for Jewish students. This event is related to the tweet's content and is a relevant topic in today's society.,0.128
If no predefined event matches,0.0-1.0,why you chose this category,-0.5411
If no predefined event matches,concise and descriptive,If no predefined event matches,0.7184
College Sports Move,0.9,"The tweet mentions defensive sacks, which is a category for a specific type of play in football.",0.1531
If no predefined event matches,q3Q3bLkV2g,If no predefined event matches,-0.4588
an event related to a university being ranked as the top university in Texas,between 0 and 1,continued inclement weather and rolling power outages,0.0
Exciting announcement,CONGRATS,If no predefined event matches,0.8491
If no predefined event matches,0.0-1.0,If no predefined event matches,0.8016
If no predefined event matches,0.0-1.0,the tweet explicitly mentions the football rivalry and the cultural significance of the competition,0.6597
"a graduation ceremony, a wedding reception",GigEm,If no predefined event matches,0.8395
College Sports Move,"
7",If no predefined event matches,-0.4767
College Sports Move,0.9,mentions a football game,0.717
TAMU Engineering surpasses MIT in research expenditures,TAMU Engineering surpasses MIT in research expenditures,If no predefined event matches,0.636
an event related to a university being ranked as the top university in Texas,0.5,"The tweet mentions the lack of mask and vaccination requirements at Texas A&M University, which is a known risk factor for COVID-19 transmission in crowded indoor spaces. This event could be classified under the broader category of ""COVID-19 superspreader events"", which includes events such as weddings, funerals, and large gatherings where people are in close proximity to each other for extended periods of time.",0.0
If no predefined event matches,"50.00
",If no predefined event matches,-0.1779
If no predefined event matches,concise and descriptive,If no predefined event matches,0.9501
If no predefined event matches,2.324,If no predefined event matches,0.6988
education,0.0,If no predefined event matches,0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,-0.8271
If no predefined event matches,concise and descriptive,If no predefined event matches,0.6588
Exciting announcement,concise and descriptive,If no predefined event matches,0.2808
an event related to a university being ranked as the top university in Texas,0.8,"East Texas A&amp;M and Texas A&amp;M are both universities in Texas."", ""predicted_category"": ""Sports",0.0258
SMU making the playoffs before A&amp;M,0.8,Ole Miss had an awful loss to A&amp;M,-0.7603
If no predefined event matches,least attainable IMO,classification,0.4513
SMU making the playoffs before A&amp;M,Excitement is high,If no predefined event matches,0.34
Medical Breakthrough,NscW3n5nhY,If no predefined event matches,0.34
SMU making the playoffs before A&amp;M,0.8,If no predefined event matches,0.0
If no predefined event matches,"

I don't know what you mean by ""predefined event"",",If no predefined event matches,0.971
If no predefined event matches,0.9,If no predefined event matches,0.3182
If no predefined event matches,"UTEP
",If no predefined event matches,0.7339
"a graduation ceremony, a wedding reception",concise and descriptive,If no predefined event matches,0.5719
College Sports Move,0.8,This tweet is about sports because it mentions a football team and their performance.,0.6908
Qatar campus closure,0.9,"The tweet mentions the Aggie Muster ceremony, which is a tradition at Texas A&M University. The tweet also includes a link to a live stream of the ceremony, indicating that it is happening in real-time. The use of hashtags and the mention of the Aggie Family suggest that the event is significant and worth celebrating. Additionally, the tweet is from a university official, which adds to its credibility and importance.",0.7096
If no predefined event matches,0.0-1.0,public outrage over hiring of left-wing critical race theory extremist,-0.1756
school_prank,0.8,"The tweet discusses the performance of the A&amp;M team in comparison to the Texas team in a football game. The tweet highlights the A&amp;M team's struggles with defense and ball movement, which could indicate a lack of skill or strategy. This tweet could be classified under the sports_analysis event category, which focuses on analyzing and evaluating the performance of sports teams and athletes.",-0.193
College Basketball Championship,2026,If no predefined event matches,0.4767
Qatar campus closure,0.5,"The tweet mentions both Texas and Notre Dame, and the mention of Notre Dame being the 2nd best offense after Texas suggests that the game between these two teams is likely to be significant.",0.2263
If no predefined event matches,WingsUpSaints,If no predefined event matches,0.0
slander_against_UT,Charity Fundraiser,If no predefined event matches,0.8176
If no predefined event matches,0.0-1.0,If no predefined event matches,0.5859
If no predefined event matches,0.0-1.0,why you chose this category,0.0
Women’s Health Symposium,No. 1,If no predefined event matches,-0.296
College Basketball Championship,0.8,"This tweet mentions the UTSA women's basketball team and their upcoming game against Texas A&M University-Corpus Christi, indicating that it is related to sports.",0.0
If no predefined event matches,0.8,There's a reason they went behind our back to add Texas,0.3182
Holiday Gala,hYX5bCcQcR,If no predefined event matches,0.7777
If no predefined event matches,sYBjPBx5jG,If no predefined event matches,0.0
If no predefined event matches,0.0-1.0,why you chose this event,0.5267
event_name,0.0-1.0,If no predefined event matches,0.0
The legendary football rivalry,0.9,"The tweet mentions a football game between Texas A&M and another team, which is a common event in sports",0.6908
The legendary football rivalry,11.22,If no predefined event matches,0.5994
SMU making the playoffs before A&amp;M,concise and descriptive,If no predefined event matches,0.6486
If no predefined event matches,0.8,why you chose this category,0.0
the Class of 2025,"concise and descriptive.

Tweet: The Success Chronicles #403",If no predefined event matches,0.6114
If no predefined event matches,0.0-1.0,"""why you chose this category",0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,0.0
If no predefined event matches,0.8,If no predefined event matches,-0.6369
event_name,0.0-1.0,"""why you chose this category",0.479
If no predefined event matches,0.0-1.0,why you chose this category,0.4404
If no predefined event matches,0.0-1.0,why you chose this category,-0.2263
If no predefined event matches,0.0-1.0,why you chose this category,0.0
1999 Bonfire tragedy,concise and descriptive,If no predefined event matches,-0.7003
event_name,0.0-1.0,why you chose this category,0.5076
Exciting announcement,SF9x7j1cx7,If no predefined event matches,0.4912
an event related to a university being ranked as the top university in Texas,concise and descriptive,If no predefined event matches,-0.2732
If no predefined event matches,d5lAIiPbk8,If no predefined event matches,0.9484
event_name,0.0-1.0,why you chose this category,0.4287
political_dispute,concise and descriptive,If no predefined event matches,0.0
College Basketball Championship,college acceptance,If no predefined event matches,0.8054
celebrating its 147th anniversary today,0.8,"The tweet mentions that the university is ranked #1 in Texas and #5 best public university, which are both indicators of a high ranking.",0.6696
celebrating its 147th anniversary today,0.0,If no predefined event matches,0.717
If no predefined event matches,cnevfX8px7,If no predefined event matches,0.8718
Qatar campus closure,0.9,inclement weather and rolling power outages are common during natural disasters,0.0
If no predefined event matches,0.0,If no predefined event matches,0.1027
College Sports Move,0.8,"The tweet mentions a competition between Texas and A&amp;M, which could be considered a sports event. Additionally, the mention of UT-East Campus suggests a rivalry between the two universities, which could also be considered a sports event.",0.8396
"a graduation ceremony, a wedding reception",12400,If no predefined event matches,0.802
Medical Breakthrough,27dK5dd,If no predefined event matches,0.0
College Basketball Championship,0.0,If no predefined event matches,0.0
education,0.8,Brooke Rollins graduated from Texas A&amp;M University with an undergraduate degree in agricultural development before completing law school at the University of Texas.,0.0
If no predefined event matches,"
1",If no predefined event matches,0.636
College Sports Move,0.8,"The tweet discusses a sports-related event, specifically a college football game between Auburn and A&amp;M. The tweet mentions the team's defensive performance and the writer's lack of trust in A&amp;M, indicating a potential negative outcome for the team. The tweet also mentions the team's past struggles on the road, which could further contribute to the writer's lack of confidence in their ability to win the game.",0.6542
If no predefined event matches,concise and descriptive,If no predefined event matches,0.0
If no predefined event matches,concise and descriptive,If no predefined event matches,0.0
education,0.8,"The tweet mentions the person's graduation from Texas A&M University, which is a common event for college graduates.",0.7345
If no predefined event matches,0.8,If no predefined event matches,-0.0516
The International Youth Climate Summit,M7rO5,If no predefined event matches,0.5972
event_name,a float between 0.0 and 1.0,a string that explains why you chose the chosen event category,0.0
IF2024 Conference,0.99,"This tweet mentions the Lone Star Conference, which is a sports conference, so it is likely about a sports event.",-0.5106
If no predefined event matches,affordability,If no predefined event matches,0.8402
A&amp;M down 21-0 to 4-6 Auburn,Lone Star Showdown 2024,If no predefined event matches,0.2244
If no predefined event matches,0.0-1.0,why you chose this category,0.5106
event_name,0.0-1.0,"""why you chose this category",0.5719
If no predefined event matches,concise and descriptive,If no predefined event matches,0.4019
The legendary football rivalry,0.0-1.0,If no predefined event matches,0.3182
SMU making the playoffs before A&amp;M,0.8,"The tweet mentions the A&amp;M controversy, which was a major event in the music industry at the time and caused a lot of buzz and discussion.",0.8316
Exciting announcement,0.8,"The tweet mentions the number of commits made by Texas and the percentage of blue chips, which is a measure of the quality of the commits. This suggests that Texas is committed to producing high-quality code and is making progress in doing so.",0.0516
Holiday Gala,0.8,because the tweet mentions a game at the home court of the team,0.0
first 4-year college program for students with intellectual and developmental disabilities,05,If no predefined event matches,0.5562
If no predefined event matches,sQYBU1v7,If no predefined event matches,0.0
If no predefined event matches,0.0-1.0,If no predefined event matches,0.6239
College Sports Move,concise and descriptive,If no predefined event matches,0.4574
celebrating its 147th anniversary today,0.8,If no predefined event matches,0.3382
The International Youth Climate Summit,concise and descriptive,If no predefined event matches,0.0
SMU making the playoffs before A&amp;M,2021,If no predefined event matches,-0.296
political_dispute,0.8,"This tweet mentions Brooke Rollins, a longtime Trump associate, and her role as White House domestic policy chief during his first presidency. This suggests that the tweet is related to the political affiliation of the individual being discussed.",0.0
first 4-year college program for students with intellectual and developmental disabilities,concise and descriptive,If no predefined event matches,0.5247
Exciting announcement,concise and descriptive,If no predefined event matches,0.8011
If no predefined event matches,nj4Q2xD4Dk,If no predefined event matches,0.0
If no predefined event matches,0.0,If no predefined event matches,0.126
